nro_legajo;edad_ingreso;zona;distancia_km;horas_trabajo_sem;beca;promedio_1er_anio;materias_aprobadas_1er_anio;asistencia_pct;reinscripcion_tardia;abandona
90074;26;Oeste;4.9;6;no;6.94;3;71.7;no;no
67551;17;Centro;3.9;18;no;7.02;7;86.5;no;no
40969;19;Norte;14.6;30;no;8.43;7;53.3;si;no
33986;22;Oeste;2.4;27;si;4.83;3;68.7;si;si
38379;22;Rural;18.4;32;no;7.0;4;57.8;no;no
69694;21;Centro;3.8;9;no;8.54;6;80.9;no;no
28814;23;Centro;10.8;23;no;6.67;4;69.5;no;no
76711;19;Centro;25.2;17;no;6.81;5;60.2;no;no
21573;20;Norte;0.9;13;si;6.11;4;83.0;no;si
88229;23;Centro;3.1;25;no;5.0;4;70.0;no;no
21292;27;Sur;9.7;18;si;7.33;8;61.7;no;no
65327;23;Sur;4.7;23;no;3.0;0;77.7;si;si
95884;20;Centro;3.6;11;no;6.67;4;66.4;no;no
58930;18;Sur;0.7;29;no;4.99;7;73.9;no;no
84135;22;Centro;16.3;0;no;7.45;5;69.6;no;no
63758;19;Sur;3.3;28;no;5.94;6;58.4;si;no
41698;25;Rural;0.5;9;si;6.89;5;64.7;no;no
35713;23;Oeste;1.3;11;no;7.09;6;68.2;si;no
91160;21;Sur;1.4;7;no;7.27;6;84.8;no;no
51014;23;Norte;1.1;27;no;5.92;6;58.4;no;no
67025;19;Centro;13.3;8;si;6.41;3;79.2;no;no
87724;18;Sur;2.5;13;no;7.15;4;94.8;no;no
41232;19;Norte;5.9;0;no;9.73;9;78.8;no;no
92139;22;Oeste;0.5;32;no;6.01;4;52.6;si;no
92902;20;Centro;21.1;0;no;5.44;3;84.3;no;no
90673;20;Norte;1.5;10;no;3.88;2;76.6;no;no
40356;22;Oeste;14.4;24;no;4.11;2;60.7;no;si
23290;17;Norte;4.2;14;no;9.05;9;86.6;no;no
61668;18;Norte;3.6;12;no;8.77;7;80.6;no;no
97087;22;Centro;10.4;23;no;5.45;5;88.0;si;no
24452;21;Sur;3.5;31;no;4.71;2;83.2;no;no
66756;23;Norte;10.9;25;no;5.2;6;58.3;no;no
53753;22;Rural;33.6;26;si;6.11;2;69.3;no;no
80435;20;Norte;22.8;22;no;7.5;8;84.4;no;no
60349;21;Oeste;2.8;9;no;8.35;6;80.1;no;no
40559;21;Sur;16.9;6;no;8.77;7;84.6;no;no
38491;22;Sur;3.4;21;si;7.97;6;69.3;no;no
27598;23;Rural;25.2;23;no;7.1;6;53.6;si;no
78526;21;Rural;2.5;19;no;8.23;7;72.6;no;no
71813;17;Centro;7.9;0;no;7.32;6;100.0;no;no
46133;24;Norte;0.5;22;no;5.67;4;74.1;no;no
41572;20;Centro;8.4;22;no;6.18;3;86.1;no;si
28673;20;Rural;9.3;13;si;6.34;5;70.8;no;no
20239;17;Sur;2.9;13;no;7.57;7;71.7;no;no
41309;21;Norte;3.5;22;no;5.84;5;68.0;no;si
78461;20;Oeste;9.1;25;no;7.21;5;63.9;si;no
41844;23;Norte;11.7;6;no;5.11;3;87.3;no;si
